Health,Population,Area,Latitude,Longitude,AQI,PM2.5,PM10
1146.6057,45800,Addanki,15.8107,79.9724,52,19,52
812.2593,166000,Adoni,15.6319,77.2759,77,36,79
1192.465,142000,Amalapuram,16.5775,82.0031,57,20,57
789.1635,39799,Amudalavalasa,18.4101,83.903,60,22,60
960.4215,115000,Badvel,14.7309,79.0589,82,37,86
1000.6815,70777,Bapatla,15.9039,80.4671,55,20,55
740.4971,142000,Bhimavaram,16.5449,81.5221,57,20,57
932.6656,228000,Chicacole,18.2949,83.8938,60,22,60
1166.6291,30279,Chimakurti,15.5855,79.8672,50,18,50
713.156,78000,Chipurupalle,18.3121,83.5696,63,23,63
928.9846,173000,Chirala,15.8167,80.3587,54,19,54
692.7654,345000,Cuddapah,14.4673,78.8242,89,43,94
726.8089,92900,Draksharama,16.7914,82.0598,57,20,57
1142.5403,405000,Ellore,14.4426,79.9865,55,20,55
1060.3267,35150,Giddalur,15.3764,78.9251,83,40,88
770.6674,126000,Guntakal,15.1661,77.377,75,35,77
967.211,200000,Hindupur,13.8223,77.5009,90,39,90
993.1395,89429,Kadiri,14.1138,78.1611,76,33,76
664.243,384128,Kakinada,16.9891,82.2475,57,20,57
762.4208,58000,Kandukur,15.2197,79.9025,50,18,50
1127.9981,102000,Kavali,14.9132,79.993,85,41,91
1009.9234,39669,Kovvur,17.0126,81.7274,66,22,66
1198.4066,106000,Macherla,16.476,79.4394,52,19,52
996.5646,180000,Madanapalle,13.556,78.501,76,33,76
1015.6509,56063,Mandapeta,16.8653,81.9262,59,20,59
642.9891,107000,Mangalagiri,16.4346,80.5662,61,18,61
1000.5039,102000,Markapur,15.7362,79.2691,50,18,50
1065.3026,211000,Nandyal,15.4777,78.4873,72,34,73
658.87,26280,Narasannapeta,18.4164,84.0459,54,19,54
709.1606,58770,Narasapur,16.433,81.6966,55,19,55
1155.2174,116000,Narasaraopet,16.2359,80.0496,55,20,55
1153.2884,547621,Nellore,14.4426,79.9865,89,43,94
683.2899,43809,Nidadavole,16.8971,81.6634,62,21,62
898.2711,203000,Ongole,15.5057,80.0499,50,18,50
