Health,Population,Area,Latitude,Longitude,AQI,PM2.5,PM10
1902.2792,261099,Arrah,25.5541,84.6665,211,137,257
1804.138,101520,Aurangabad,24.8762,84.3433,71,33,71
1898.573,113012,Bagaha,27.1222,84.0722,122,45,84
1830.1343,251136,Begusarai,25.4182,86.1272,192,81,135
1966.9914,156200,Bettiah,26.8026,84.5204,126,46,112
1890.2596,410210,Bhagalpur,25.2425,86.9882,104,53,118
1869.7028,296889,Bihar Sharif,25.205,85.5174,127,46,79
1998.9589,110608,Buxar,25.5647,83.9777,110,40,76
1972.6828,212955,Chhapra,25.7811,84.7543,171,95,268
2142.4772,182214,Danapur,25.6241,85.0414,177,106,281
1864.4532,306089,Darbhanga,26.1542,85.8918,153,61,147
2082.7197,137068,Dehri,24.9061,84.1912,207,127,251
2119.5462,171620,Deo,24.6561,84.4356,71,33,71
2133.5736,470839,Gaya,24.7914,85.0002,126,59,97
1852.1785,147126,Hajipur,25.6964,85.2083,206,76,358
1922.9766,105221,Jamalpur,25.3118,86.3984,115,42,67
2138.9634,102456,Jehanabad,25.2133,84.9853,110,40,76
1846.9193,240565,Katihar,25.5541,87.5591,111,40,69
1808.12,107076,Kishanganj,26.0982,87.975,115,65,99
1905.3373,125183,Motihari,26.6438,84.904,126,46,112
2106.4442,213101,Munger,25.3708,84.4734,163,78.2,140
2142.4195,393724,Muzaffarpur,26.119,85.391,341,174,97
1892.3893,118820,Nawada,24.8867,85.5535,104,37,59
1906.3185,2046652,Patna,25.5941,85.1376,237,96,232
1970.2324,310817,Purnea,25.7771,87.4753,117,58,94
1822.5481,41587,Rajgir,25.0173,85.4162,57,34,125
1799.2947,155175,Saharsa,25.8774,86.5923,247,118,167
1899.7678,147396,Sasaram,24.9539,84.0143,179,145,102
2165.6137,105924,Sitamarhi,26.5887,85.5013,159,70.2,145
2128.3905,134458,Siwan,26.2243,84.36,158,68.2,120
