Health,Population,Area,Latitude,Longitude,AQI,PM2.5,PM10
1159.6587,5570000,Ahmedabad,23.0225,72.5714,112,34,119
904.6639,89000,Ankleshwar,21.6164,73.0152,125,27,137
784.9244,214000,Bhuj,23.242,69.6669,53,17,53
838.5459,150000,Chikhli,20.3491,76.2654,77,20,77
1002.1895,191000,Daman,20.3974,72.8328,85,22,85
1092.6052,410000,Dwarka,22.2442,68.9686,44,14,44
678.2322,292000,Ghandinagar,23.2156,72.6369,65,28,65
1003.8908,480000,Jamnagar,22.4707,70.0577,58,19,58
840.7848,101000,Jasdan,22.0356,71.2018,65,21,65
873.2489,37000,Khed Brahma,24.0291,73.0435,68,39,68
967.8697,185000,Mahesana,23.588,72.3693,55,24,55
1160.5948,25000,Meghraj,23.4968,73.5131,51,22,51
700.6666,52000,Mundra,22.8395,69.7213,53,17,53
909.7598,26000,Naliya,23.2609,68.8273,44,14,44
671.3142,171000,Navsari,209467,72.952,77,20,77
1026.4618,218000,Porbandar,21.6417,69.6293,44,14,44
678.3824,4460000,Surat,21.1702,72.8311,106,23,116
668.7429,2112000,Vadodara,22.3072,73.1812,34,20,32
893.6908,170000,Valsad,20.5992,72.9342,80,21,80
714.159,163000,Vapi,20.3893,72.9106,94,24,96
