Health,Population,Area,Latitude,Longitude,AQI,PM2.5,PM10
660.8694,111933,Bagalkot,16.1691,75.6615,64,18,41
602.875,8495492,Bangalore,12.9716,77.5946,110,56,112
765.8752,490045,Belgaum,15.8497,74.4977,91,27,97
1152.23,410445,Bellary,15.1394,76.9214,100,38,124
1096.5585,28754,Belur,13.1623,75.8679,115,63,61
609.1975,151102,Bhadravati,13.8276,75.7064,67,21,54
719.5306,216020,Bidar,17.9104,77.5199,168,84,112
633.8021,327427,Bijapur,16.8302,75.71,79,46,65
1106.2147,404000,Channarayapatna,12.9035,76.3898,65,23,65
952.7838,118401,Chikmagalur,13.3161,75.772,155,63,54
659.3449,145853,Chitradurga,14.2251,76.398,67,68,67
928.4743,434971,Davangere,14.4644,75.9218,93,50,53
896.9852,172612,Gadag-Betageri,15.4315,75.6355,49,25,49
1025.1521,114642,Gangavati,15.4319,76.5218,100,39,138
798.9004,543147,Gulbarga,17.3297,76.8343,115,48,124
662.6886,155006,Hassan,13.0033,76.1004,105,57,60
895.9568,206167,Hospet,15.2689,76.3909,43,24,43
722.746,124060,Hubli,15.3647,75.124,98,36,103
839.2766,943788,Hubli-Dharwad,15.4589,75.0078,104,43,107
634.5582,138462,Kolar,13.1362,78.1291,85,51,62
1168.5701,137358,Mandya,12.5218,76.8951,70,25,70
1176.2282,499487,Mangalore,12.9141,74.856,97,52,55
916.5925,920550,Mysore,12.2958,76.6394,77,28,77
755.8498,234073,Raichur,16.216,77.3566,103,50,105
695.2066,106406,Ranebennuru,14.6954,75.6288,81,27,51
709.4894,322650,Shimoga,13.9299,75.5681,102,55,58
777.1371,25400,Shrirangapattana,12.4237,76.6829,73,26,73
1012.5525,302143,Tumkur,13.3379,77.1173,121,37,139
661.774,144960,Udipi,13.3409,74.7421,97,52,55
