AQI,Population,Health,Area,Latitude,Longitude
168,144440,625.7001,Akaipur,22.9354,88.7428
81,66344,834.9993,Akra,22.5148,88.2492
117,119306,942.2696,Amta ,22.5779,88.0167
130,73488,846.9275,Arambagh,22.8765,87.791
115,78510,681.7508,Babu Ghat,22.5679,88.341
82,97278,937.2852,Behala,22.4981,88.3108
105,144174,1094.8175,Baharu,22.204,88.4283
181,85019,1026.3114,Bardhaman,23.2324,87.8615
136,67202,732.6511,Ballygunge Junction,22.5193,88.3721
135,74783,629.7183,Baltikuri,22.608,88.3021
189,83993,1070.794,Bandel Junction,22.9228,88.3777
169,94820,978.1229,Chandanpur,22.5655,88.2456
112,96594,782.5322,Cheragram,22.9786,87.7478
162,67393,1124.4382,Dankuni Junction,22.6781,88.2904
182,147845,732.6652,Digha,22.6222,87.5066
173,118913,1033.7128,Dum Dum Junction,22.6015,88.3928
116,113444,647.2831,Duttapukur,22.5726,88.3639
95,81647,757.9727,Eden Gardens,22.5646,88.3233
97,78464,984.593,Gangnapur,23.0729,88.6449
200,73773,881.9391,Ghusuri,22.6115,88.356
132,156915,878.3912,Goghat,22.5726,88.2629
115,65753,722.9847,Hind Motor,22.2858,88.3361
162,83921,1020.1852,Howrah Bridge,22.5851,88.3468
152,73339,614.4114,Ichhapur,22.801,88.3699
120,91234,1045.8992,Jadavpur,22.4955,88.3709
149,85481,734.4375,Lakshmikantapur,22.1099,88.3209
109,106000,685.4757,Majerhat,22.5187,88.3224
137,143354,961.1746,Mirzapur Bankipur,22.7007,88.2221
113,77404,1088.9505,Nalpur,22.5726,88.3639
81,104918,1112.4551,Haldia,22.0627,88.0833
157,146107,1021.8755,Nischintapur,22.4606,88.173
156,81913,655.6743,Padmapukur,22.5309,88.3484
120,130000,780.6751,Panskura,22.3973,87.7386
132,115104,1031.877,Park Street,22.5768,88.3504
93,83421,729.4181,Phuleswar,22.4775,88.8954
210,117652,942.9133,Rabindra Bharati,22.5845,88.3594
164,85476,801.7352,Sealdah,22.5625,88.3713
114,112579,1023.4615,Shantinagar Halt,22.6897,88.3582
135,82155,786.4669,Silpaprabesh,22.1184,88.6862
139,88204,913.1828,Sonarpur Junction,22.443,88.4305
150,66072,1195.4347,Tribeni,22.9901,88.3943
81,145106,726.9484,Udairampur,22.5726,88.2565
130,62551,791.841,Ukilerhat,22.603,88.4665
178,112794,724.8194,Victoria Memorial,22.5448,88.3426
