Health,Population,Area,Latitude,Longitude,AQI,PM2.5,PM10
1278.9492,2167447,Indore,26.4886,74.5509,173,74,300
1400.9476,1883381,Bhopal,23.2599,74.126,164,80.9,215
1180.6459,1444667,Jabalpur,23.1815,79.9864,122,44,159.5
1421.5745,1101981,Gwalior,26.2183,78.1828,122,78,120
1567.6554,515215,Ujjain,23.1765,75.7885,164,80,248.5
1303.4442,370296,Sagar,23.8388,78.937,89,30.2,45
1193.8339,289438,Dewas,22.9676,76.0534,164,80.6,239.3
1449.9301,283004,Satna,24.6005,80.8322,147,54.2,120
1220.9355,273892,Ratlam,23.3315,75.0367,128,46.4,120
1123.2459,235422,Rewa,24.5362,81.3036,122,44.2,123
1216.5247,221875,Murwara (Katni),23.8343,80.3894,148,54.7,120
1269.7343,220295,Singrauli,24.1992,82.6645,252,201,257
1523.2455,210891,Burhanpur,21.3145,76.218,103,36.3,89
1323.6242,200681,Khandwa,21.8314,76.3498,110,39.2,79.5
1485.6291,197332,Bhind,26.5638,78.7861,112,40.2,92.8
1551.4558,190008,Chhindwara,22.0574,78.9382,135,49.2,99.5
1576.8456,180978,Guna,24.6324,77.3002,110,39.2,79
1164.8994,179972,Shivpuri,25.432,77.6644,95,33,64
1520.5335,155959,Vidisha,23.5236,77.814,124,45,87
1344.8234,147688,Chhatarpur,24.9168,79.591,156,67,63
1424.6137,147515,Damoh,23.8323,79.4387,117,42.2,96
1481.5463,141468,Mandsaur,24.0734,75.0679,128,47,124
1495.4845,133361,Khargone,21.8335,75.615,154,36,52
1530.859,128575,Neemuch,24.4738,74.8726,206,101,224
1388.6019,126099,Pithampur,22.6111,75.6773,119,82,101
1460.3705,117956,Narmadapuram,22.7519,77.7289,154,88,125
1423.1369,114430,Itarsi,22.6115,77.7623,154,73,153
1440.6721,109025,Sehore,23.2022,77.0844,120,40,140
1561.9069,205726,Morena,26.4947,77.994,81,42,81
1256.2822,103341,Betul,21.9012,77.896,153,78,153
1330.6322,102377,Seoni,22.0869,79.5423,168,82,181
1529.5926,100466,Datia,25.6653,78.4609,120,46,122
1527.4109,100036,Nagda,23.4561,75.4227,100,72,152
