Health,Population,Area,Latitude,Longitude,AQI,PM2.5,PM10
1396.2554,4550000,Ahmadnagar,19.0948,74.748,108,27,124
1688.8589,537000,Akola,20.7002,77.0082,55,34,52
1099.9388,647000,Amravati,20.932,77.7523,55,31,55
1205.9214,1180000,Aurangabad,19.8762,75.3433,79,41,78
1616.9132,815000,Bhayandar,19.299,72.8548,113,24,122
1683.8124,710000,Bhiwandi,19.2813,73.0443,105,32,111
1206.7143,187000,Bhusawal,21.0418,75.7876,59,36,56
1653.8076,1100000,Chanda,19.9615,79.2961,84,37,86
1158.4595,1730000,Chinchwad,18.6298,73.7997,126,26,142
1011.4127,799000,Dhule,20.9042,74.7749,59,36,56
1487.4687,288000,Ichalkaranji,16.6886,74.4593,58,16,58
1552.2842,461000,Jalgaon,20.0077,75.5626,59,36,56
1419.2845,310000,Junnar,19.2032,73.8743,114,28,130
1211.1288,789000,Kolhapur,16.705,74.2433,58,16,58
1426.9749,397000,Latur,18.4088,76.5604,118,48,138
1419.9553,1251529,Malegaon,20.5579,74.5089,55,33,52
1583.5796,18400000,Mumbai,19.076,72.8777,119,32,132
1096.6937,2410000,Nagpur,21.1458,79.0882,75,40,75
1279.465,1486053,Nasik,19.9995,73.7898,70,42,58
1232.5825,112000,Osmanabad,18.1853,76.042,124,50,145
1513.5624,130000,Panchgani,17.9234,73.7977,107,25,121
1025.2256,307000,Parbhani,19.2608,76.7748,58,35,55
1202.6949,3120000,Pune,18.5204,73.8567,136,35,154
1341.5987,2820000,Sangli,16.8524,74.5815,58,16,58
1370.8809,951000,Solapur,17.6599,75.9064,147,60,172
1001.8655,1890000,Thane,19.2183,72.9781,114,36,122
1454.8645,130000,Uran,18.8722,72.9283,120,42,133
1272.9572,117000,Yavatmal,20.3899,78.1307,82,43,86
