AQI,Population,Health,Area,Latitude,Longitude
190,823885,1563.667,Andheri E,19.1179,72.8631
225,748688,753.6667,Andheri W,19.1195,72.8445
170,307581,358,Bandra,19.0561,72.8353
230,743783,1347,bhandup,19.139,72.9305
168,56124,854.655,Bhayandar,19.299,72.8548
152,562162,1090.667,borivali,19.2311,72.8558
197,393286,956.6667,Byculla,18.9719,72.8313
156,29652,261.46,Charni Road,18.9549,72.8235
300,807720,1467.5,Chembur E,19.0522,72.9005
320,411893,399.1667,Chembur W,19.0673,72.9018
189,45315,765.1655,Churchgate,18.9322,72.8264
152,185014,770.1667,Colaba,18.9338,72.8365
121,599039,1442.5,Dadar,19.0232,72.8434
152,431368,471.5,dahisar,19.2428,72.8653
121,377749,1676.667,Elphinstone,19.0084,72.8304
212,622853,1061.333,Ghatkopar,19.0839,72.9064
181,463507,147.5,Goregaon,19.1663,72.8526
197,346866,768.6667,Grant Road,18.963,72.8176
172,65455,654.554,Jogeshwari,19.1439,72.8428
136,691229,752.871,kandivali,19.2029,72.8518
197,557239,1430.167,Khar,19.1071,72.8368
170,411893,989.45,King's Circle,19.0328,72.8561
184,902225,1685.667,Kurla,19.0705,72.8791
141,521893,532.54,Lower Parel,18.9977,72.8376
167,311593,1355.54,Mahalaxmi,18.9865,72.8183
190,241535,654.654,Mahim,19.0354,72.8423
181,941366,876.1667,Malad,19.1858,72.8583
161,166161,893,Marine Lines,18.9461,72.8249
226,529034,801.1667,Matunga,19.0294,72.8546
200,75154,651.54321,Mira Road,19.2856,72.8691
246,65421,533.45,Mumbai Central,18.969,72.8205
237,341463,371,mulund,19.1756,72.9509
164,46215,460.64,Navi Nagar,18.898,72.8131
197,360972,897.8333,Parel,18.9977,72.8376
186,347623,567.648,Prabhadevi,19.0163,72.8291
161,127290,438.5,Sandhurst road,18.9615,72.8333
170,72152,654.68654,Santacruz,19.0843,72.836
165,34654,842.421,Sion,19.039,72.8619
146,54315,567.651,Vidyavihar,19.0798,72.8973
169,40616,846.654,Vile Parle,19.0968,72.8517
