Health,Population,Area,Latitude,Longitude,AQI,PM2.5,PM10
1300.7467,113856,Ambur,12.7802,78.7177,139,51.2,142
1240.3633,8696010,Chennai,13.0827,80.2707,65,27,69
1627.6652,2151466,Coimbatore,11.0168,76.9558,61,34,61
1630.6177,150000,Conjeeveram,12.8337,79.7167,91,1,94
1483.4941,173361,Cuddalore,11.748,79.7714,80,1,83
1628.1549,292132,Dindigul,10.3624,77.9695,58,32,58
1669.7297,521776,Erode,11.341,77.7172,72,39,72
1232.7192,233763,Karur,10.9601,78.0766,61,34,61
1584.661,50000,Kilkunda,11.2638,76.6535,70,25,70
1793.9113,45152,Kodaikanal,10.2381,77.4892,58,32,58
1462.4911,194992,Kumarapalayam,11.4363,77.7223,91,65,95
1359.8028,167098,Kumbakonam,10.9602,79.3845,35,12,27
1226.4879,1462420,Madurai,9.9252,78.1198,55,30,55
1397.9552,102838,Nagapattinam,10.7672,79.8449,70,22,61
1737.7302,224329,Nagercoil,8.1833,77.4119,19,8,19
1492.4526,103000,Negapatam,10.7672,79.8449,70,1,72
1358.7143,178925,Neyveli,11.539,79.4794,35,12,40
1649.6557,88400,Ootacamund,11.4102,76.695,76,27,76
1320.8638,135235,Pollachi,10.6609,77.0048,122,44.2,100
1466.6364,117215,Pudukkottai,10.3833,78.8001,39,17,38
1544.7433,130119,Rajapalaiyam,9.4515,77.5543,61,16,61
1697.646,44857,Rameswaram,9.2876,79.3129,37,14,37
1368.4775,262346,Ranipet,12.9487,79.319,74,54,90
1466.6929,919150,Salem,11.6643,78.146,60,33,60
1417.6047,39875,Seven Pagodas,12.6209,80.1933,91,1,94
1745.3837,234688,Sivakasi,9.4533,77.8024,103,36.2,100.4
1637.273,291000,Tanjore,10.787,79.1378,55,30,55
1567.1415,962982,Tiruppur,11.1085,77.3411,66,36,66
1202.4058,144683,Tiruvannamalai,12.4918,79.1097,80,34,83
1689.5552,917000,Trichinopoly,10.7905,78.7047,56,31,56
1401.9393,233374,Udhagamandalam,11.4102,76.695,120,43.2,100
1621.2632,70589,Valparai,10.327,76.9554,37,20,37
1599.7694,116712,Vaniyambadi,12.6858,78.6178,135,49.2,100.6
1277.3333,481966,Vellore,12.9165,79.1325,142,52,123
