Health,Population,Area,Latitude,Longitude,AQI,PM2.5,PM10
1576.1773,1600000,Agra,27.1767,78.0081,284,114,126
1941.4474,870000,Aligarh,27.8974,78.088,139,47,168
1768.117,2400000,Allahabad,25.4358,81.8463,101,32,112
1615.2089,560000,Ayodhya,26.7922,82.1998,220,52,202
1577.7558,900000,Bareilly,28.367,79.4304,192,83,220
1831.2613,2500000,Budaun,28.0311,79.1271,187,80,214
1992.7303,3100000,Bulandshahr,28.407,77.8498,172,55,210
1538.529,1800000,Etah,27.5625,78.6654,145,90,170
1612.6382,260000,Etawah,26.7829,79.0277,169,52,208
1919.254,560000,Faizabad,26.773,82.1458,157,70,102
1590.5247,280000,Fatehpur,27.3826,80.7996,77,46,202
1675.5192,600000,Firozabad,27.1592,78.3957,256,103,126
1667.2031,1700000,Ghaziabad,28.6692,77.4538,165,55,200
1558.4073,230000,Ghazipur,25.5878,83.5783,153,45,160
1858.8595,1000000,Gorakhpur,26.7606,83.3732,94,30,104
1559.4454,260000,Hapur,28.7306,77.7759,155,16,184
1816.8734,200000,Hathras,27.3965,80.125,247,99,199
1542.6014,800000,Jaunpur,25.7464,82.6837,110,35,122
1531.1457,510000,Jhansi,25.4484,78.5685,169,52,208
1716.1339,2900000,Kanpur,26.4499,80.3319,87,52,207
1671.5916,1200000,Lalitpur,24.6912,78.4138,101,101,73
1966.7191,3500000,Lucknow,26.8467,80.9462,255,116,255
1772.5453,440000,Mathura,27.4924,77.6737,247,99,91
1670.9717,2200000,Mirzapur,25.1337,82.5644,216,89,205
1978.3176,1600000,Meerut,28.9845,77.7064,174,46,211
1720.4797,890000,Moradabad,28.8386,78.7733,220,94,262
1736.5511,500000,Muzaffarnagar,29.4727,77.7085,142,49,163
1000,640000,Noida,28.5355,77.391,50,30,35
1963.644,2000000,Pilibhit,28.6249,79.8075,187,80,214
1731.624,330000,Rampur,28.7983,79.022,218,93,250
1785.5313,710000,Saharanpur,29.968,77.5552,76,39,68
1822.7401,3000000,Shahajahanpur,27.8296,79.8297,262,139,259
1785.173,4500000,Sitalpur,27.568,80.679,157,70,104
1656.1404,1200000,Varanasi,25.3176,82.9739,136,47,155
1647.2563,63005,Vrindavan,27.565,77.6593,247,99,102
