Health,Population,Area,Latitude,Longitude,AQI,PM2.5,PM10
1605.5361,127342,Alipurduar,26.4922,89.523,265,115.95,193
1674.1185,1160000,Asansol,23.6889,86.9661,112,46,120
1777.757,305609,Baharampur,24.0983,88.2684,96,32,88
1565.3621,113000,Bali,22.6797,88.3386,112,29,68
1737.7863,164593,Balurghat,25.2373,88.7873,114,106,114
1419.8679,110668,Bangaon,23.0467,88.8291,100,71,100
1529.357,138036,Bankura,23.2313,87.0784,108,75,108
1585.7191,347016,Bardhaman,23.2324,87.8615,129,47,130
1275.8865,144891,Basirhat,22.6591,88.8572,100,38,103
1734.2427,132855,Chakdaha,23.0765,88.5293,107,75,107
1691.2874,106760,Cooch Behar,26.3452,89.4482,141,52,77
1524.1214,115000,Dam Dam,22.642,88.4312,91,39,91
1576.9626,249840,Dankuni,22.6809,88.297,100,40,104
1427.8514,132016,Darjeeling,27.041,88.2663,265,111,194
1510.3356,239022,Dhulian,24.6707,87.9482,155,62,140
1736.4884,581409,Durgapur,23.5204,87.3119,153,60,125
1463.493,324237,English Bazar,25.0108,88.1411,100,28,224
1206.7675,304584,Habra,22.8408,88.6535,100,38.9,103.6
1432.728,200762,Haldia,22.0627,88.0833,69,19,92
1740.6803,4840000,Howrah,22.5958,88.2636,108,50,113
1774.9936,107000,Jalpaiguri,26.5215,88.7196,200,86,149
1319.8346,34000,Jamuria,23.7061,87.0774,111,46,120
1798.6401,122875,Jangipur,24.459,88.1047,152,58.2,125
1508.8697,50000,Jaynagar-Majilpur,22.1742,88.4234,87,33,87
1408.2442,330000,Kamarhati,22.6847,88.3706,98,36,100
1260.8791,293719,Kharagpur,22.346,87.232,164,80,176
1666.4549,14900000,Kolkata,22.5726,88.3639,88,36,90
1620.1474,181182,Krishnanagar,23.4013,88.5021,100,38.9,103.6
1292.3223,169127,Medinipur,22.4257,87.3199,71,40,71.5
1795.1274,175474,Nabadwip,23.4037,88.3659,107,38,91
1208.4881,126894,Purulia,23.3322,86.3616,127,46.2,130
1468.3433,199758,Raiganj,25.6329,88.1319,178,107.2,123
1287.3467,235583,Ranaghat,23.1745,88.5606,100,70,100
1652.8869,288718,Shantipur,23.2645,88.4381,77,75,35
1860.3465,470000,Shiliguri,26.7271,88.3952,220,96,163
